,FB311-01,$41,,,
,FB311-02,$41,,,
,FB311-03,$41,,,
,FB311-04,$41,,,
,FB311-05,$41,,,
,FB311-06,$41,,,
,FB318-01,$52,,,
,FB318-02,$52,,,
,FB318-03,$52,,,
,FB318-04,$52,,,
,FB318-05,$52,,,
,FB318-06,$52,,,
,FB322-01,$45,,,
,FB322-02,$45,,,
,FB322-03,$45,,,
,FB322-04,$45,,,
,FB325-01,$55,,,
,FB325-02,$55,,,
,FB325-03,$55,,,
,FB325-04,$55,,,
,FB325-05,$55,,,
,FB325-06,$55,,,
,FB361-01,$41,,,
,FB361-02,$41,,,
,FB361-03,$41,,,
,FB361-04,$41,,,
,FB362-01,$61,,,
,FB362-02,$61,,,
,FB362-03,$61,,,
,FB362-04,$61,,,
,FB362-05,$61,,,
,FB363-01,$61,,,
,FB363-02,$61,,,
,FB363-03,$61,,,
,FB363-04,$61,,,
,FB363-05,$61,,,
,FB364-1,$63,,,
,FB364-2,$63,,,
,FB364-3,$63,,,
,FB364-4,$63,,,
,FB364-5,$63,,,
,FB365-1,$48,,,
,FB365-2,$48,,,
,FB365-3,$48,,,
,FB365-4,$48,,,
,FB366-1,$62,,,
,FB366-2,$62,,,
,FB366-3,$62,,,
,FB366-4,$62,,,
,FB366-5,$62,,,
,FB367-1,$39,,,
,FB367-2,$39,,,
,FB367-3,$39,,,
,FB367-4,$39,,,
,FB368-1,$39,,,
,FB368-2,$39,,,
,FB368-3,$39,,,
,FB510-01,$53,,,
,FB510-02,$53,,,
,FB510-03,$53,,,
,FB510-04,$53,,,
,FB510-05,$53,,,
,FB510-06,$53,,,
,FB513-01,$48,,,
,FB513-02,$48,,,
,FB513-03,$48,,,
,FB513-04,$48,,,
,FB513-05,$48,,,
,FB514-01,$41,,,
,FB514-02,$41,,,
,FB514-03,$41,,,
,FB514-04,$41,,,
,FB514-05,$41,,,
,FB515-01,$41,,,
,FB515-02,$41,,,
,FB515-03,$41,,,
,FB515-04,$41,,,
,FB515-05,$41,,,
,FB515-06,$41,,,
,FB516-01,$45,,,
,FB516-02,$45,,,
,FB516-03,$45,,,
,FB516-04,$45,,,
,FB516-05,$45,,,
,FB516-06,$45,,,
,FB516-07,$45,,,
,FB311-01,$41,,,
,FB311-02,$41,,,
,FB311-03,$41,,,
,FB311-04,$41,,,
,FB311-05,$41,,,
,FB311-06,$41,,,
,FB318-01,$52,,,
,FB318-02,$52,,,
,FB318-03,$52,,,
,FB318-04,$52,,,
,FB318-05,$52,,,
,FB318-06,$52,,,
,FB322-01,$45,,,
,FB322-02,$45,,,
,FB322-03,$45,,,
,FB322-04,$45,,,
,FB325-01,$55,,,
,FB325-02,$55,,,
,FB325-03,$55,,,
,FB325-04,$55,,,
,FB325-05,$55,,,
,FB325-06,$55,,,
,FB361-01,$41,,,
,FB361-02,$41,,,
,FB361-03,$41,,,
,FB361-04,$41,,,
,FB362-01,$61,,,
,FB362-02,$61,,,
,FB362-03,$61,,,
,FB362-04,$61,,,
,FB362-05,$61,,,
,FB363-01,$61,,,
,FB363-02,$61,,,
,FB363-03,$61,,,
,FB363-04,$61,,,
,FB363-05,$61,,,
,FB364-1,$63,,,
,FB364-2,$63,,,
,FB364-3,$63,,,
,FB364-4,$63,,,
,FB364-5,$63,,,
,FB365-1,$48,,,
,FB365-2,$48,,,
,FB365-3,$48,,,
,FB365-4,$48,,,
,FB366-1,$62,,,
,FB366-2,$62,,,
,FB366-3,$62,,,
,FB366-4,$62,,,
,FB366-5,$62,,,
,FB367-1,$39,,,
,FB367-2,$39,,,
,FB367-3,$39,,,
,FB367-4,$39,,,
,FB368-1,$39,,,
,FB368-2,$39,,,
,FB368-3,$39,,,
,FB510-01,$53,,,
,FB510-02,$53,,,
,FB510-03,$53,,,
,FB510-04,$53,,,
,FB510-05,$53,,,
,FB510-06,$53,,,
,FB513-01,$48,,,
,FB513-02,$48,,,
,FB513-03,$48,,,
,FB513-04,$48,,,
,FB513-05,$48,,,
,FB514-01,$41,,,
,FB514-02,$41,,,
,FB514-03,$41,,,
,FB514-04,$41,,,
,FB514-05,$41,,,
,FB515-01,$41,,,
,FB515-02,$41,,,
,FB515-03,$41,,,
,FB515-04,$41,,,
,FB515-05,$41,,,
,FB515-06,$41,,,
,FB516-01,$45,,,
,FB516-02,$45,,,
,FB516-03,$45,,,
,FB516-04,$45,,,
,FB516-05,$45,,,
,FB516-06,$45,,,
,FB516-07,$45,,,
,MA1-001,$55,,,
,MA1-002,$55,,,
,MA1-003,$55,,,
,MA1-004,$55,,,
,MA1-005,$55,,,
,MA1-006,$55,,,
,MA2-001,$60,,,
,MA2-002,$60,,,
,MA2-003,$60,,,
,MA3-001,$58,,,
,MA3-002,$58,,,
,MA3-003,$58,,,
,MA3-004,$58,,,
,MA4-001,$65,,,
,MA4-002,$65,,,
,MA4-003,$65,,,
,MA5-001,$70,,,
,MA6-001,$65,,,
,MA6-002,$65,,,
,MA6-003,$65,,,
,MA6-004,$65,,,
,MA6-005,$65,,,
,MA6-006,$65,,,
,MA6-007,$65,,,
,MA7-001,$46,,,
,MA7-002,$46,,,
,MA7-003,$46,,,
,MA7-004,$46,,,
,MA8-001,$46,,,
,MA8-002,$46,,,
,MA8-003,$46,,,
,MA8-004,$46,,,
,MA8-005,$46,,,
,MA9-001,$60,,,
,MA9-002,$60,,,
,MA9-003,$60,,,
,MA9-004,$60,,,
,MA10-001,$71,,,
